trial  XDAT   ttype  cond   occur  face#  roi#   x      y      w      h      							x	y	w	h
34	161	2	1	1	1	1	284	173.9	76	115.2
34	161	2	1	1	1	2	285.6	189.93	59.2	32.64
34	161	2	1	1	1	3	295.2	221.57	28.8	18.24
34	161	2	1	1	1	4	294.4	242.23	36.8	24
34	161	2	1	1	2	1	370.4	173.9	72.8	116.16
34	161	2	1	1	2	2	372	190.93	59.2	30.72
34	161	2	1	1	2	3	379.2	220.65	31.2	19.2
34	161	2	1	1	2	4	378.4	242.19	39.2	23.04
35	162	2	1	1	0	1	373.6	174.9	72.8	117.12
35	162	2	1	1	0	2	377.6	192.93	64	32.64
35	162	2	1	1	0	3	393.6	224.57	32	19.2
35	162	2	1	1	0	4	390.4	246.19	37.6	24
35	162	2	1	1	1	1	195.2	179.91	76.8	115.2
35	162	2	1	1	1	2	200.8	191.93	64.8	31.68
35	162	2	1	1	1	3	217.6	222.61	31.2	18.24
35	162	2	1	1	1	4	213.6	244.23	38.4	23.04
35	162	2	1	1	2	1	283.2	179.91	73.6	115.2
35	162	2	1	1	2	2	287.2	192.93	64	31.68
35	162	2	1	1	2	3	301.6	223.61	33.6	21.12
35	162	2	1	1	2	4	298.4	247.11	42.4	23.04
36	163	2	1	1	0	1	193.6	170.89	75.2	120.96
36	163	2	1	1	0	2	207.2	188.93	59.2	32.64
36	163	2	1	1	0	3	228	220.57	30.4	20.16
36	163	2	1	1	0	4	224	243.15	36	24.96
36	163	2	1	1	1	1	277.6	170.89	72	120.96
36	163	2	1	1	1	2	289.6	190.93	58.4	30.72
36	163	2	1	1	1	3	309.6	220.65	31.2	20.16
36	163	2	1	1	1	4	303.2	243.15	38.4	24
36	163	2	1	1	2	1	367.2	171.9	69.6	117.12
36	163	2	1	1	2	2	379.2	190.93	56.8	32.64
36	163	2	1	1	2	3	396	222.57	33.6	20.16
36	163	2	1	1	2	4	391.2	245.15	36	22.08
37	72	1	2	1	0	1	174.22	125.87	74.22	126.93
37	72	1	2	1	0	2	184.44	162.67	54.22	20.8
37	72	1	2	1	0	3	200	182.47	24.89	21.33
37	72	1	2	1	0	4	193.78	205.4	37.33	19.2
37	72	1	2	1	1	1	287.56	126.4	73.78	130.13
37	72	1	2	1	1	2	298.22	165.87	55.11	19.73
37	72	1	2	1	1	3	313.78	184.6	25.33	19.73
37	72	1	2	1	1	4	308.89	204.87	34.67	25.6
